k,psiUnw,sUsed,v_cmd
237,5.06802322654657,0.999999999999091,3.30274472259049
238,5.06802322654657,0.999999999999091,3.30274472259049
239,5.06802322654657,0.999999999999091,3.30274472259049
240,5.06802322654657,0.999999999999091,3.30274472259049
241,5.06802322654657,0.999999999999091,3.30274472259049
242,5.06802322654657,0.999999999999091,3.30274472259049
243,5.06802322654657,0.999999999999091,3.30274472259049
244,5.06802322654657,0.999999999999091,3.30274472259049
245,5.06802322654657,0.999999999999091,3.30274472259049
246,5.06802322654657,0.999999999999091,3.30274472259049
247,5.06802322654657,0.999999999999091,3.30274472259049
248,5.06802322654657,0.999999999999091,3.30274472259049
249,5.06802322654657,0.999999999999091,3.30274472259049
250,5.06802322654657,0.999999999999091,3.30274472259049
251,5.06802322654657,0.999999999999091,3.30274472259049
252,5.06802322654657,0.999999999999091,3.30274472259049
253,5.06802322654657,0.999999999999091,3.30274472259049
254,5.06802322654657,0.999999999999091,3.30274472259049
255,5.06802322654657,0.999999999999091,3.30274472259049
256,5.06802322654657,0.999999999999091,3.30274472259049
257,5.06802322654657,0.999999999999091,3.30274472259049
258,5.06802322654657,0.999999999999091,3.30274472259049
259,5.06802322654657,0.999999999999091,3.30274472259049
260,5.06802322654657,0.999999999999091,3.30274472259049
261,5.06802322654657,0.999999999999091,3.30274472259049
262,5.06802322654657,0.999999999999091,3.30274472259049
263,5.06802322654657,0.999999999999091,3.30274472259049
264,5.06802322654657,0.999999999999091,3.30274472259049
265,5.06802322654657,0.999999999999091,3.30274472259049
266,5.06802322654657,0.999999999999091,3.30274472259049
267,5.06802322654657,0.999999999999091,3.30274472259049
268,5.06802322654657,0.999999999999091,3.30274472259049
269,5.06802322654657,0.999999999999091,3.30274472259049
270,5.06802322654657,0.999999999999091,3.30274472259049
271,5.06802322654657,0.999999999999091,3.30274472259049
272,5.06802322654657,0.999999999999091,3.30274472259049
273,5.06802322654657,0.999999999999091,3.30274472259049
274,5.06802322654657,0.999999999999091,3.30274472259049
275,5.06802322654657,0.999999999999091,3.30274472259049
276,5.06802322654657,0.999999999999091,3.30274472259049
277,5.06802322654657,0.999999999999091,3.30274472259049
278,5.06802322654657,0.999999999999091,3.30274472259049
279,5.06802322654657,0.999999999999091,3.30274472259049
280,5.06802322654657,0.999999999999091,3.30274472259049
281,5.06802322654657,0.999999999999091,3.30274472259049
282,5.06802322654657,0.999999999999091,3.30274472259049
283,5.06802322654657,0.999999999999091,3.30274472259049
284,5.06802322654657,0.999999999999091,3.30274472259049
285,5.06802322654657,0.999999999999091,3.30274472259049
286,5.06802322654657,0.999999999999091,3.30274472259049
287,5.06802322654657,0.999999999999091,3.30274472259049
288,5.06802322654657,0.999999999999091,3.30274472259049
289,5.06802322654657,0.999999999999091,3.30274472259049
290,5.06802322654657,0.999999999999091,3.30274472259049
291,5.06802322654657,0.999999999999091,3.30274472259049
292,5.06802322654657,0.999999999999091,3.30274472259049
293,5.06802322654657,0.999999999999091,3.30274472259049
294,5.06802322654657,0.999999999999091,3.30274472259049
295,5.06802322654657,0.999999999999091,3.30274472259049
296,5.06802322654657,0.999999999999091,3.30274472259049
297,5.06802322654657,0.999999999999091,3.30274472259049
298,5.06802322654657,0.999999999999091,3.30274472259049
299,5.06802322654657,0.999999999999091,3.30274472259049
300,5.06802322654657,0.999999999999091,3.30274472259049
301,5.06802322654657,0.999999999999091,3.30274472259049
302,5.06802322654657,0.999999999999091,3.30274472259049
303,5.06802322654657,0.999999999999091,3.30274472259049
304,5.06802322654657,0.999999999999091,3.30274472259049
305,5.06802322654657,0.999999999999091,3.30274472259049
306,5.06802322654657,0.999999999999091,3.30274472259049
307,5.06802322654657,0.999999999999091,3.30274472259049
308,5.06802322654657,0.999999999999091,3.30274472259049
309,5.06802322654657,0.999999999999091,3.30274472259049
310,5.06802322654657,0.999999999999091,3.30274472259049
311,5.06802322654657,0.999999999999091,3.30274472259049
312,5.06802322654657,0.999999999999091,3.30274472259049
313,5.06802322654657,0.999999999999091,3.30274472259049
314,5.06802322654657,0.999999999999091,3.30274472259049
315,5.06802322654657,0.999999999999091,3.30274472259049
316,5.06802322654657,0.999999999999091,3.30274472259049
317,5.06802322654657,0.999999999999091,3.30274472259049
318,5.06802322654657,0.999999999999091,3.30274472259049
319,5.06802322654657,0.999999999999091,3.30274472259049
320,5.06802322654657,0.999999999999091,3.30274472259049
321,5.06802322654657,0.999999999999091,3.30274472259049
322,5.06802322654657,0.999999999999091,3.30274472259049
323,5.06802322654657,0.999999999999091,3.30274472259049
324,5.06802322654657,0.999999999999091,3.30274472259049
325,5.06802322654657,0.999999999999091,3.30274472259049
326,5.06802322654657,0.999999999999091,3.30274472259049
327,5.06802322654657,0.999999999999091,3.30274472259049
328,5.06802322654657,0.999999999999091,3.30274472259049
